wav(nm),int(au)
331.2,6.84
332.94,6.82
334.69,6.85
336.45,6.82
338.22,6.85
340,6.83
341.78,6.84
343.57,6.84
345.37,6.84
347.17,6.81
348.98,6.85
350.79,6.82
352.62,6.85
354.44,6.83
356.27,6.85
358.11,6.83
359.95,6.85
361.8,6.83
363.65,6.86
365.5,6.85
367.36,6.85
369.22,6.83
371.09,6.84
372.96,6.83
374.83,6.86
376.71,6.84
378.58,6.85
380.46,6.83
382.35,6.86
384.23,6.84
386.12,6.86
388.01,6.85
389.9,6.86
391.8,6.84
393.69,6.86
395.59,6.84
397.49,6.86
399.39,6.84
401.29,6.87
403.19,6.85
405.09,6.87
407,6.87
408.9,6.91
410.81,6.91
412.71,6.97
414.62,7
416.52,7.09
418.43,7.18
420.33,7.37
422.24,7.59
424.15,7.96
426.05,8.44
427.96,9.12
429.86,9.99
431.77,11.25
433.67,12.88
435.57,15.16
437.48,18.3
439.38,22.63
441.28,28.32
443.18,35.32
445.08,42.98
446.98,50.15
448.88,55.36
450.78,57.2
452.67,55.18
454.57,50.18
456.46,43.57
458.35,37.2
460.25,31.91
462.14,27.94
464.03,24.9
465.91,22.34
467.8,19.92
469.69,17.67
471.57,15.58
473.46,13.87
475.34,12.46
477.22,11.45
479.1,10.66
480.98,10.1
482.85,9.6
484.73,9.21
486.6,8.82
488.48,8.53
490.35,8.27
492.22,8.07
494.09,7.9
495.95,7.81
497.82,7.68
499.69,7.65
501.55,7.55
503.41,7.52
505.27,7.44
507.13,7.4
508.99,7.33
510.85,7.31
512.7,7.28
514.56,7.26
516.41,7.21
518.27,7.19
520.12,7.15
521.97,7.15
523.82,7.14
525.67,7.13
527.51,7.08
529.36,7.1
531.2,7.07
533.05,7.07
534.89,7.03
536.73,7.03
538.58,7.02
540.42,7.04
542.26,7
544.1,7.01
545.93,6.97
547.77,7
549.61,6.98
551.44,6.98
553.28,6.94
555.11,6.95
556.95,6.93
558.78,6.95
560.62,6.93
562.45,6.95
564.28,6.91
566.11,6.92
567.94,6.92
569.78,6.94
571.61,6.9
573.44,6.91
575.27,6.9
577.1,6.91
578.93,6.89
580.75,6.91
582.58,6.88
584.41,6.88
586.24,6.87
588.07,6.89
589.9,6.88
591.73,6.9
593.55,6.86
595.38,6.88
597.21,6.88
599.04,6.88
600.87,6.87
602.69,6.88
604.52,6.88
606.35,6.88
608.18,6.85
610.01,6.88
611.84,6.86
613.66,6.87
615.49,6.85
617.32,6.87
619.15,6.86
620.98,6.86
622.81,6.85
624.64,6.87
626.46,6.86
628.29,6.86
630.12,6.83
631.95,6.87
633.78,6.85
635.61,6.86
637.44,6.84
639.27,6.87
641.1,6.85
642.92,6.86
644.75,6.84
646.58,6.86
648.41,6.84
650.24,6.86
652.07,6.83
653.89,6.86
655.72,6.83
657.55,6.86
659.38,6.85
661.2,6.87
663.03,6.83
664.85,6.85
666.68,6.84
668.5,6.86
670.33,6.84
672.15,6.84
673.97,6.84
675.79,6.86
677.61,6.82
679.43,6.84
681.25,6.82
683.07,6.85
684.88,6.83
686.69,6.85
688.51,6.83
690.32,6.86
692.13,6.82
693.94,6.84
695.74,6.84
697.54,6.85
699.35,6.83
701.15,6.85
702.94,6.82
704.74,6.85
706.53,6.83
708.32,6.85
710.11,6.82
711.89,6.86
713.67,6.83
715.45,6.84
717.22,6.82
718.99,6.83
720.76,6.82
722.52,6.84
724.28,6.83
726.03,6.84
727.78,6.83
729.53,6.84
731.27,6.83
733.01,6.85
734.74,6.82
736.46,6.84
738.18,6.82
739.9,6.85
741.6,6.82
743.31,6.85
745,6.83
746.69,6.84
748.37,6.82
750.05,6.84
751.71,6.82
753.37,6.86
755.03,6.82
756.67,6.85
758.31,6.82
759.93,6.84
761.55,6.83
763.16,6.85
764.76,6.84
766.35,6.85
767.93,6.83
769.5,6.85
771.06,6.82
772.61,6.84
774.15,6.83
775.67,6.84
777.19,6.83
778.69,6.84
780.18,6.83
781.65,6.84
783.11,6.83
784.56,6.85
786,6.84
787.42,6.84
788.83,6.83
790.22,6.87
